train/loss,epoch,step,valid/loss
437.40875244140625,0,2,
,0,2,353.1181640625
341.97125244140625,1,5,
,1,5,330.39801025390625
294.7835388183594,2,8,
,2,8,292.6263122558594
241.62982177734375,3,11,
,3,11,237.65936279296875
181.04898071289062,4,14,
,4,14,176.29661560058594
126.67369842529297,5,17,
,5,17,150.22467041015625
138.87074279785156,6,20,
,6,20,174.17245483398438
135.72076416015625,7,23,
,7,23,152.28199768066406
109.7270278930664,8,26,
,8,26,116.27482604980469
105.51052856445312,9,29,
,9,29,104.38784790039062
88.93965911865234,10,32,
,10,32,98.73966217041016
87.99571990966797,11,35,
,11,35,88.30917358398438
90.40729522705078,12,38,
,12,38,76.31243133544922
72.73806762695312,13,41,
,13,41,68.75341796875
72.95809936523438,14,44,
,14,44,64.56302642822266
60.299522399902344,15,47,
,15,47,60.17469024658203
57.032203674316406,16,50,
,16,50,57.05515670776367
51.989078521728516,17,53,
,17,53,55.132598876953125
54.913299560546875,18,56,
,18,56,53.18022918701172
40.73167037963867,19,59,
,19,59,50.90108108520508
42.854156494140625,20,62,
,20,62,49.913089752197266
47.91084289550781,21,65,
,21,65,49.49165344238281
48.180728912353516,22,68,
,22,68,48.891258239746094
48.62815856933594,23,71,
,23,71,48.853328704833984
52.7608528137207,24,74,
,24,74,48.23073196411133
46.3025016784668,25,77,
,25,77,47.339820861816406
42.77405548095703,26,80,
,26,80,46.478206634521484
46.52113723754883,27,83,
,27,83,46.085060119628906
39.15311813354492,28,86,
,28,86,46.229248046875
43.02611541748047,29,89,
,29,89,46.00730895996094
42.18988037109375,30,92,
,30,92,45.80412292480469
42.67205810546875,31,95,
,31,95,45.79472732543945
42.76396179199219,32,98,
,32,98,45.02405548095703
32.52301025390625,33,101,
,33,101,44.5042610168457
32.7739372253418,34,104,
,34,104,44.272274017333984
40.95646667480469,35,107,
,35,107,43.799171447753906
40.65618896484375,36,110,
,36,110,43.739070892333984
38.807159423828125,37,113,
,37,113,43.40520477294922
40.1942024230957,38,116,
,38,116,42.75251770019531
37.48986053466797,39,119,
,39,119,42.61720275878906
42.37668991088867,40,122,
,40,122,42.01045227050781
36.991519927978516,41,125,
,41,125,41.46497344970703
37.96540069580078,42,128,
,42,128,41.24317169189453
41.08697509765625,43,131,
,43,131,40.96045684814453
34.46262741088867,44,134,
,44,134,40.039344787597656
44.159095764160156,45,137,
,45,137,38.90406799316406
37.6317138671875,46,140,
,46,140,38.39756774902344
36.915157318115234,47,143,
,47,143,38.10376739501953
39.94610595703125,48,146,
,48,146,36.73740768432617
37.84880828857422,49,149,
,49,149,35.78499984741211
42.04441833496094,50,152,
,50,152,35.66917419433594
34.21686935424805,51,155,
,51,155,34.3340950012207
30.504846572875977,52,158,
,52,158,33.82366180419922
31.572486877441406,53,161,
,53,161,34.26881790161133
36.3259391784668,54,164,
,54,164,34.542236328125
36.34256362915039,55,167,
,55,167,32.29598617553711
32.005096435546875,56,170,
,56,170,31.383081436157227
30.862653732299805,57,173,
,57,173,33.57244873046875
33.18898010253906,58,176,
,58,176,31.721044540405273
30.02178955078125,59,179,
,59,179,29.365758895874023
26.978336334228516,60,182,
,60,182,30.72295570373535
33.28875732421875,61,185,
,61,185,31.750986099243164
32.91065216064453,62,188,
,62,188,28.984779357910156
24.55362319946289,63,191,
,63,191,27.79883575439453
22.730852127075195,64,194,
,64,194,27.385953903198242
21.690414428710938,65,197,
,65,197,28.318981170654297
26.792402267456055,66,200,
,66,200,24.521221160888672
18.466571807861328,67,203,
